Date,Chrome,Opera,UC Browser,Firefox,Safari,Android,IE,Edge,Samsung Internet,BlackBerry,Edge Legacy,IEMobile,NetFront,Nokia,Instabridge,KaiOS,Dolfin,Obigo,Openwave,Maxthon,QQ Browser,Sony PSP Vita,360 Safe Browser,Samsung,Sogou Explorer,Unknown,Sony PS4,Phantom,SonyEricsson,Baidu Browser,Jasmine,Phoenix,LG,Other
2009-03,0.8,4.6,0,36.27,1.37,0,54.49,0,0,0,0,0,0.05,0.62,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,1.33
2009-04,9.24,9.37,0,27.22,2.14,0,50.75,0,0,0,0,0,0.29,0.42,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0.16
2009-05,5.7,3.66,0,34.59,1.84,0,52.44,0,0,0,0,0,0.09,0.57,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1.02
2009-06,5.12,2.87,0,31.8,1,0,57.08,0,0,0,0,0,0.58,0.76,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.72
2009-07,1.16,2.63,0,19.38,0.62,0,76.2,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08,1.37,3.81,0,35.31,1.15,0,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
2009-09,1.97,1.8,0,22.09,0.84,0,72.48,0,0,0.04,0,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73
2009-10,2.81,5.19,0,33.12,1.35,0.01,56.67,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58
2009-11,3.76,3.75,0,31.71,2.99,0,54.7,0,0,0.93,0,0.01,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31
2009-12,1.77,6.15,0,25.53,2.14,0,63.18,0,0,0.2,0,0,0.05,0.55,0,0,0,0,0.09,0.15,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.08
2010-01,2.72,12.52,0,23.02,1.68,0,56.07,0,0,0.34,0,0.13,1.04,2.17,0,0,0,0,0.07,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.14
2010-02,2.96,10.5,0,29.32,0.97,0.03,52.68,0,0,0.09,0,0,1.17,1.71,0,0,0,0,0.25,0.14,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.1
2010-03,3.75,5.07,0,27.48,1.38,0.03,60.85,0,0,0.15,0,0,0.29,0.46,0,0,0,0,0.06,0.1,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.26
2010-04,3.02,4.34,0,24.96,2.66,0,59.66,0,0,0.12,0,0.02,0.25,4.51,0,0,0,0,0.09,0.02,0,0,0,0.04,0,0.06,0,0,0.09,0,0,0,0,0.18
2010-05,6.1,2.13,0,23.34,2.16,0.05,61.76,0,0,0.21,0,0,0.27,3.08,0,0,0,0,0.09,0.14,0,0,0,0.01,0,0.04,0,0,0.01,0,0,0,0,0.61
2010-06,4.98,0.35,0,25.59,1.1,0.03,66.33,0,0,0.51,0,0,0,0.63,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2010-07,5.13,4.87,0,26.12,1.23,0.08,56.71,0,0,0.36,0,0.03,0.56,4.29,0,0,0,0,0.15,0.09,0,0,0,0.21,0,0,0,0,0.07,0,0,0,0.01,0.08
2010-08,7.19,4.61,0,26.67,1.9,0.03,55.68,0,0,0.16,0,0.03,0.49,2.73,0,0,0,0,0.15,0.11,0,0,0,0.13,0,0,0,0,0.02,0,0,0,0.01,0.1
2010-09,3.36,6.49,0,30.32,2.13,0.03,52.84,0,0,0.04,0,0.01,0.39,4,0,0,0,0,0.17,0.03,0,0,0,0.04,0,0,0,0,0.03,0,0,0,0,0.12
2010-10,3.75,10.44,0,26.31,2.12,0.56,46.35,0,0,0.01,0,0.05,0.65,9.19,0,0,0,0,0.24,0.05,0,0,0,0.12,0,0,0,0,0.01,0,0,0,0.01,0.14
2010-11,5.86,12.44,0,25.23,2.41,1.19,44.75,0,0,0.01,0,0.07,1.07,5.99,0,0,0,0,0.33,0.1,0,0,0,0.36,0,0,0,0,0.01,0,0,0,0.01,0.17
2010-12,5.14,15.63,0,27.95,1.55,0.69,42.49,0,0,0.07,0,0.02,0.79,4.66,0,0,0,0,0.33,0.01,0,0,0,0.26,0,0,0,0,0.13,0,0,0,0,0.27
2011-01,5.24,11.44,0,31.88,1.98,0.19,44.64,0,0,0.01,0,0.01,0.93,2.84,0,0,0,0,0.2,0.15,0,0,0,0.27,0,0,0,0,0,0,0,0,0.01,0.2
2011-02,7.12,9.1,0,29.77,3.76,0.13,45.85,0,0,0.03,0,0.02,0.59,2.59,0,0,0,0,0.39,0.11,0,0,0,0.31,0,0,0,0,0.12,0,0,0,0.01,0.11
2011-03,7.55,10.62,0,27.86,3.81,0.4,43.86,0,0,0.04,0,0.01,0.67,4.27,0,0,0,0,0.12,0.11,0,0,0,0.31,0,0,0,0,0.02,0,0,0,0.01,0.36
2011-04,7.05,13.95,0,25.67,3.15,0.82,41.97,0,0,0.12,0,0.03,0.75,5.37,0,0,0.02,0.02,0.15,0.44,0,0,0,0.15,0,0.06,0,0,0.08,0,0.02,0,0,0.16
2011-05,6.99,14.08,0,26.69,8.43,0.53,37.05,0,0,0.03,0,0.06,0.35,4.6,0,0,0.07,0.09,0.21,0.27,0,0,0,0.06,0,0.29,0,0,0.02,0,0.09,0,0,0.1
2011-06,7.43,9.22,0,32.68,4.67,0.52,40.6,0,0,0.05,0,0.02,0.76,2.95,0,0,0.04,0.1,0.24,0.11,0,0,0,0.06,0,0.12,0,0,0.01,0,0.02,0,0.01,0.39
2011-07,7.46,9.11,0,33.89,3.92,0.5,40.49,0,0,0.44,0,0.02,0.79,1.68,0,0,0.08,0.21,0.11,0.16,0,0,0,0.15,0,0,0,0,0.05,0,0.02,0,0.05,0.88
2011-08,8.98,7.48,0,31.96,3.67,0.53,43.26,0,0,0.34,0,0.02,0.58,2,0,0,0.13,0.08,0.08,0.18,0,0,0,0.08,0,0.02,0,0,0.06,0,0.02,0,0.06,0.48
2011-09,9.02,6.5,0.01,33.08,3.13,0.45,44.78,0,0,0.37,0,0.05,0.56,1.22,0,0,0.1,0.05,0.12,0.19,0,0,0,0.1,0,0.01,0,0,0.01,0,0.02,0,0,0.23
2011-10,9.49,5.45,0.1,35.31,3.61,0.65,42.2,0,0,0.28,0,0.13,0.49,1.66,0,0,0.06,0.01,0.05,0.1,0,0,0,0.09,0,0,0,0,0.03,0,0,0,0.01,0.27
