"Date","Google","bing","Yahoo!","Baidu","Ask Jeeves","YANDEX RU","DuckDuckGo","Conduit","Haosou","Webcrawler","Babylon","YANDEX","MSN","Sogou","AVG Search","Shenma","Other"
2009-03,90.56,0,5.22,0,0.8,0,0,0,0,0,0,0,1,0,0,0,2.41
2009-04,89.92,0,7,0,0.41,0,0,0,0,0,0,0,0.82,0,0,0,1.85
2009-05,89.67,0,7.14,0,0.61,0,0,0,0,0,0,0,1.37,0,0,0,1.22
2009-06,91.67,2.08,5.08,0.13,1.04,0,0,0,0,0,0,0,0,0,0,0,0
2009-07,88.97,1.93,7.16,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0
2009-08,91.01,2.57,5.46,0.16,0.8,0,0,0,0,0,0,0,0,0,0,0,0
2009-09,89.55,1.55,6.07,0.71,2.12,0,0,0,0,0,0,0,0,0,0,0,0
2009-10,79.87,4.9,5.42,0.26,9.42,0.13,0,0,0,0,0,0,0,0,0,0,0
2009-11,84.21,4.61,6.97,0,3.55,0.13,0,0,0,0,0,0,0,0,0,0,0.53
2009-12,86.42,4.7,7.66,0.4,0.81,0,0,0,0,0,0,0,0,0,0,0,0
2010-01,85.73,3.28,10.31,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,89.27,2.93,6.7,0.12,0.55,0,0,0,0,0,0,0,0,0,0,0,0.43
2010-03,88.31,2.51,8.05,0.25,0.84,0,0,0,0,0,0,0,0,0,0,0,0.04
2010-04,90.58,2.64,5.52,0.21,0.88,0,0,0,0,0,0,0,0,0,0,0,0.18
2010-05,90.28,3.1,5.69,0.18,0.57,0.05,0,0,0,0,0,0,0,0,0,0,0.13
2010-06,89.4,3.14,6.51,0.23,0.59,0.05,0,0,0,0,0,0,0.03,0,0,0,0.05
2010-07,92.09,2.1,5.16,0.15,0.36,0.02,0,0,0,0,0,0,0.02,0,0,0,0.1
2010-08,91.33,2.36,5.34,0.15,0.73,0.04,0,0,0,0,0,0,0,0,0,0,0.04
2010-09,89.31,2.93,7.31,0,0.34,0.02,0,0,0,0.02,0,0,0,0,0,0,0.06
2010-10,89.01,2.44,7.62,0.1,0.59,0.1,0,0,0,0,0,0,0.04,0,0,0,0.1
2010-11,90.09,2.99,5.99,0.2,0.66,0.02,0,0,0,0,0,0,0,0,0,0,0.05
2010-12,90.26,2.11,6.68,0.08,0.76,0.03,0,0,0,0,0,0,0.03,0,0,0,0.05
2011-01,89.36,3.21,6.75,0.13,0.52,0.02,0,0,0,0,0,0,0,0,0,0,0.02
2011-02,89.41,2.76,6.78,0.09,0.66,0.02,0,0,0,0,0,0,0,0,0.07,0,0.21
2011-03,89.83,3.73,5.6,0.1,0.48,0.04,0,0,0,0.06,0,0,0,0,0.06,0,0.1
2011-04,88.88,4.36,5.51,0.15,0.83,0.03,0,0,0,0.02,0,0,0,0,0.17,0,0.05
2011-05,83.07,3.13,6.74,0.1,6.38,0.02,0,0,0,0.07,0,0,0,0,0.32,0,0.17
2011-06,90.7,2.23,5.96,0.07,0.75,0.07,0,0,0,0,0,0,0,0,0.16,0,0.05
2011-07,89.91,3.08,5.94,0.05,0.59,0.01,0,0,0,0,0,0,0,0,0.35,0,0.07
2011-08,89.69,2.87,6.18,0.07,0.89,0.02,0,0,0,0,0,0,0,0,0.16,0,0.13
2011-09,89.76,3.52,5.71,0.05,0.59,0.08,0,0,0,0,0,0,0,0,0.12,0,0.18
2011-10,88.81,4.06,5.82,0.1,0.87,0.05,0,0,0,0.02,0,0,0,0,0.07,0,0.21
2011-11,89.1,3.79,6.14,0.09,0.61,0.08,0,0,0,0.02,0,0,0,0,0.04,0,0.12
2011-12,88.45,4.07,6.32,0.08,0.74,0.06,0,0,0,0.04,0,0,0,0,0.05,0,0.18
2012-01,90.3,3.04,5.58,0.06,0.72,0.06,0,0,0,0.01,0,0,0,0,0.01,0,0.21
2012-02,90.57,2.72,5.92,0.04,0.56,0.03,0,0,0,0,0,0,0,0,0.06,0,0.1
2012-03,89.65,4.35,4.77,0.04,0.85,0.06,0,0,0,0.09,0,0,0,0,0.01,0,0.18
2012-04,88.87,4.67,5.47,0.05,0.42,0.27,0,0,0,0,0,0,0,0,0,0,0.24
2012-05,90.59,3.83,3.68,0.05,1.33,0.29,0,0,0,0,0,0,0,0,0,0,0.24
2012-06,89.45,4.44,4.14,0.02,0.57,0.61,0,0.4,0,0,0.06,0,0,0,0.01,0,0.31
2012-07,86.32,3.46,8.39,0.06,0.44,0.11,0,0.7,0,0.02,0.32,0,0,0,0,0,0.2
2012-08,89.31,3.25,5.21,0.1,0.53,0.09,0,0.76,0,0.01,0.55,0,0,0,0.01,0,0.18
2012-09,89.09,3.15,4.54,0.16,0.62,0.68,0,0.76,0.01,0.01,0.64,0,0,0,0,0,0.34
2012-10,88.59,3.28,5.04,0.21,0.51,0.56,0,0.76,0.02,0.02,0.76,0,0,0,0.01,0,0.25
2012-11,88.97,3.53,4.64,0.26,0.52,0.35,0,0.84,0.01,0,0.58,0,0,0,0.01,0,0.28
2012-12,88.27,3.83,5,0.2,0.7,0.08,0,0.71,0.05,0.02,0.73,0,0,0,0,0,0.41
2013-01,88.67,3.86,4.59,0.34,1.05,0.05,0,0.52,0.04,0.02,0.41,0,0,0,0,0,0.44
2013-02,89.84,3.41,4.6,0.19,0.86,0.04,0,0.56,0.02,0.01,0.19,0,0,0,0,0,0.27
2013-03,91.47,3.38,3.94,0.08,0.26,0.07,0,0.44,0.02,0.01,0.1,0,0,0,0.04,0,0.2
2013-04,91.6,3.45,3.56,0.08,0.2,0.07,0,0.42,0.02,0,0.5,0,0,0,0.01,0,0.1
2013-05,91.34,3.94,3.62,0.09,0.18,0.04,0,0.34,0.04,0.02,0.33,0,0,0,0,0,0.06
2013-06,90.45,3.98,4.03,0.16,0.33,0.02,0.02,0.29,0.03,0.05,0.52,0,0,0,0,0,0.13
2013-07,90.84,3.94,3.86,0.11,0.27,0.03,0,0.23,0.03,0.12,0.47,0,0,0,0,0,0.09
2013-08,91.38,3.56,3.7,0.22,0.18,0.07,0,0.27,0.03,0.29,0.21,0,0,0,0,0,0.09
2013-09,89.51,4.6,4.53,0.32,0.21,0.04,0,0.17,0.04,0.36,0.18,0,0,0,0,0,0.05
2013-10,87.48,4.53,4.64,0.34,1.14,0.04,0,0.1,0.13,0.47,0.22,0,0,0.02,0.12,0,0.77
2013-11,87.96,4.27,4.66,0.41,1.34,0.07,0,0.11,0.05,0.41,0.1,0,0,0,0.16,0,0.45
2013-12,87.14,4.59,4.77,0.52,1.45,0.07,0.01,0.14,0.23,0.41,0,0,0,0.03,0.07,0,0.56
2014-01,88.33,4.64,4.46,0.29,1.11,0.04,0,0.11,0.07,0.35,0.02,0.01,0,0,0.21,0,0.36
2014-02,91.08,3.92,2.2,0.26,1.09,0.19,0.02,0.16,0.09,0.45,0.02,0,0,0.02,0.14,0,0.35
2014-03,92.34,2.99,2.95,0.26,0.76,0.09,0.02,0.15,0.05,0.06,0,0,0,0.01,0.09,0,0.25
2014-04,91.45,3.3,3.29,0.23,1.02,0.09,0.02,0.08,0.05,0.01,0.16,0.01,0,0.01,0.09,0,0.2
2014-05,93.11,2.89,2.7,0.11,0.61,0.07,0.01,0.08,0.02,0.02,0.01,0.01,0,0.01,0.11,0,0.27
2014-06,93.93,2.52,2.36,0.09,0.65,0.08,0.08,0.06,0.02,0.04,0,0,0,0,0.1,0,0.07
2014-07,93.2,3.03,2.45,0.15,0.79,0.12,0,0.05,0.02,0.06,0,0,0,0.01,0.03,0,0.1
2014-08,93.45,2.81,2.43,0.17,0.79,0.07,0,0.04,0.01,0.1,0.02,0,0,0.01,0.03,0,0.07
2014-09,93.85,2.63,2.29,0.18,0.78,0.07,0,0,0.01,0.07,0,0,0,0.01,0.04,0,0.06
2014-10,92.75,2.59,3.05,0.18,1.04,0.1,0.01,0,0.03,0.07,0.01,0,0.01,0,0.02,0,0.14
2014-11,88.61,4.87,3.79,0.31,1.95,0.05,0.02,0,0.15,0.05,0.02,0,0.01,0,0.01,0,0.17
2014-12,89.53,4.51,3.76,0.43,1.25,0.08,0,0,0.15,0.02,0.01,0,0.03,0.02,0.07,0,0.12
2015-01,89.02,4.36,4.47,0.48,1.27,0.12,0.01,0,0.02,0.06,0.06,0,0.02,0.02,0.04,0,0.07
2015-02,89.1,5.03,4.01,0.21,1.25,0.06,0.03,0,0.04,0.04,0.01,0,0.01,0.01,0.01,0,0.19
2015-03,88.28,5.17,4.38,0.21,1.5,0.09,0.03,0,0.04,0.03,0.01,0.08,0.02,0.01,0,0,0.14
2015-04,89.76,4.13,3.97,0.29,1.34,0.08,0.07,0,0.14,0.04,0.02,0.02,0.02,0.01,0.06,0,0.04
